Fecha,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max,Semana,Anho,Distrito
2018-09-02,16.753348985584925,67.757505400576,19.872134213749007,14.39919038645752,53.22475780061946,81.3557925095789,35,2018,LURIGANCHO
2018-09-09,17.614358156812578,69.74589132092662,20.56558995921756,14.766690911509102,56.19570935499595,82.9286927185384,36,2018,LURIGANCHO
2018-09-16,17.202190253732194,70.39606283782304,19.79270312286337,14.867713334217626,57.06714790082594,82.51876556395544,37,2018,LURIGANCHO
2018-09-23,17.6757828085266,68.52515412927936,20.29792058874904,15.089557325154829,57.20186872811743,80.8073422004129,38,2018,LURIGANCHO
2018-09-30,18.45325646261487,68.51371539689684,21.698477747863365,15.999770493331994,53.973823009579,80.63693289124693,39,2018,LURIGANCHO
2018-10-07,18.939812420727808,69.08570888659474,21.465054118331977,16.577234550103242,54.5868152185385,79.60421662791094,40,2018,LURIGANCHO
2018-10-14,18.317522811923844,75.9940889604682,21.99020269562351,16.00984281609209,57.8028885372834,88.3717709733279,41,2018,LURIGANCHO
2018-10-21,18.03634654235361,74.55674456984502,20.6777424592176,15.708632511457497,60.49911929207292,87.78545933687045,42,2018,LURIGANCHO
2018-10-28,18.546275801538748,73.20142716772746,21.518893570623447,16.083111006926117,60.44238487312147,88.53967090082593,43,2018,LURIGANCHO
2018-11-04,19.37220242492501,71.59969510313285,22.62246037978946,16.535399520520286,57.720806708959536,84.56253530061944,44,2018,LURIGANCHO
2018-11-11,19.997184350616955,74.03811306898159,23.093354079686264,17.581130445623444,58.541476881668046,86.96240376436845,45,2018,LURIGANCHO
2018-11-18,19.59618765364169,74.34477405710615,22.32162607062344,17.56728221828041,62.04826371853847,85.76762286457486,46,2018,LURIGANCHO
2018-11-25,20.039124980890417,73.75847727237316,22.764882807029323,17.893700070623424,60.81407380916604,87.55800541895147,47,2018,LURIGANCHO
2018-12-02,19.949747342206162,74.95122935970653,22.81519760473782,17.76051852744638,61.05783418228743,88.70199357353435,48,2018,LURIGANCHO
2018-12-09,20.279597095928363,77.25092389457886,23.231514254789488,18.00033678197775,62.08124270999191,96.49133409165984,49,2018,LURIGANCHO
2018-12-16,21.20062908422093,75.20444227707041,24.991039013852173,18.278378247863373,56.03031017270855,92.1358995106113,50,2018,LURIGANCHO
2018-12-23,21.841509582005944,75.68380118143736,24.7532042070809,19.46899905702935,60.38801200000003,89.25400020041297,51,2018,LURIGANCHO
2018-12-30,21.641778252425716,77.30593959071764,24.47073247973788,19.252663436560734,63.51777985499602,90.63788941895136,52,2018,LURIGANCHO
2019-01-06,22.143097020368383,76.24212287863716,25.21939380249796,19.90843323880057,60.19411344562352,91.60124000103237,01,2019,LURIGANCHO
2019-01-13,23.39123767421133,69.84877547122214,26.61605825265281,20.044043182029327,52.66695519938066,91.5319338368705,02,2019,LURIGANCHO
2019-01-20,22.279926241054508,79.66762152802816,25.52522476171561,20.280315668435207,60.1006331097855,92.8832087643684,03,2019,LURIGANCHO
2019-01-27,23.381056275422136,77.140991018568,26.6747098571326,20.555586845675123,60.13064649042113,91.72562349145342,04,2019,LURIGANCHO
2019-02-03,24.683121317378315,69.79401684130667,27.994608084475715,21.92357791390384,53.38086369938064,87.31041194562351,05,2019,LURIGANCHO
2019-02-10,24.320383620274757,78.16423309003858,27.198973159372485,22.242154438955534,63.79530517270861,92.39218068228745,06,2019,LURIGANCHO
2019-02-17,24.294531220707363,78.22479666654856,27.23821790484112,22.21872171161232,61.2159282089596,91.76086941895146,07,2019,LURIGANCHO
2019-02-24,25.040788428695343,69.39789096514617,28.983763800361373,22.470415538903865,45.352166526672185,89.81784016416194,08,2019,LURIGANCHO
2019-03-03,25.349197997029332,66.97455011387137,28.04103090484108,23.190313702549588,53.45545584541709,79.88154984541703,09,2019,LURIGANCHO
2019-03-10,24.49423653361656,74.12704693075317,27.53802139338353,22.216399879789435,56.813295681255134,90.09353749145345,10,2019,LURIGANCHO
2019-03-17,24.410224802035508,74.26452370813091,27.058246266246957,21.711961172966653,58.37511568125514,86.05232390082595,11,2019,LURIGANCHO
2019-03-24,23.21222852455969,73.98087848090354,26.4977310047895,20.660026341143748,60.44518320895961,87.508294963749,12,2019,LURIGANCHO
2019-03-31,22.386134858411395,77.33494150235276,24.91108306395552,20.03525060020644,62.15143422708511,93.16054650957894,13,2019,LURIGANCHO
2019-04-07,22.158034310022014,74.70751098021931,25.49136169801824,19.46628868202936,55.59555768125516,88.86889160978546,14,2019,LURIGANCHO
2019-04-14,22.118693618724787,73.51667938228668,25.925670595675054,19.380051979737857,55.31169910020655,88.22332358208094,15,2019,LURIGANCHO
2019-04-21,21.520850059609494,77.55072649633722,24.581101582080976,19.1859813933836,63.82947503625109,92.7735114914534,16,2019,LURIGANCHO
2019-04-28,21.996656432395778,74.7428409516575,24.93253566390382,19.276688254789462,59.33265320895962,89.04300704582992,17,2019,LURIGANCHO
2019-05-05,20.790718866693915,75.4245527027944,23.623964459217632,18.446542195623465,59.363900336870486,90.72706885499592,18,2019,LURIGANCHO
2019-05-12,20.156309822617484,77.97122942867179,23.94119511833202,17.521779488800632,60.36674114603645,92.12750317374088,19,2019,LURIGANCHO
2019-05-19,20.17653073346467,74.6265774273218,24.20526573880062,17.03796136833199,58.425447627911005,89.60229749145337,20,2019,LURIGANCHO
2019-05-26,19.117392308329933,74.18082239414976,21.533893213749025,16.245124725206495,60.44330749145346,87.04049173666391,21,2019,LURIGANCHO
2019-06-02,18.271090872629838,74.6061791593202,21.04411937286341,15.656035661509064,60.35451184644939,89.1286030639554,22,2019,LURIGANCHO
2019-06-09,18.15230671757977,74.59955811389068,21.08388067057183,15.856228445623458,60.76337057353441,88.12549796478129,23,2019,LURIGANCHO
2019-06-16,17.313167541217442,75.82115653948048,21.41727758421763,14.353928511457523,58.41029566416196,89.79513851915785,24,2019,LURIGANCHO
2019-06-23,15.923226214646268,80.13145983877858,18.71498440911432,13.553079499999969,64.11069901915783,91.4951678101983,25,2019,LURIGANCHO
2019-06-30,15.799235602608933,80.47083843861638,18.96461142510321,13.659815377394692,61.99511480061937,90.8099739914534,26,2019,LURIGANCHO
2019-07-07,15.968450527887061,80.56331943629539,19.27183913645746,14.05442184781174,65.68742100957891,92.4973348101984,27,2019,LURIGANCHO
2019-07-14,16.04623107357724,80.36969166144657,19.06769084328039,14.411499693228734,66.36529049145341,90.96860551061124,28,2019,LURIGANCHO
2019-07-21,15.58107452657857,80.23917453813046,18.66961697734314,13.464545775051704,66.7190303368704,89.00734458208095,29,2019,LURIGANCHO
2019-07-28,14.801552586822098,80.19656970615497,17.647308502394765,12.234078602343176,63.05391399145339,91.8417884189514,30,2019,LURIGANCHO
2019-08-04,14.496584714365365,79.83860799402737,17.553071275051593,12.374688788645756,63.93159593707688,90.1246996822874,31,2019,LURIGANCHO
2019-08-11,14.703472718605342,79.40746661717755,17.682144025051628,12.54925653650912,64.79112176436836,91.08571031874486,32,2019,LURIGANCHO
2019-08-18,14.89413379827237,79.5457479032206,17.767557029582974,12.343418068228686,64.87310203728333,91.4179629552024,33,2019,LURIGANCHO
2019-08-25,15.655839214026582,78.31659673185393,19.778889270520267,12.83545493869741,59.09675678249391,92.74205370999182,34,2019,LURIGANCHO
2019-09-01,15.643617819380045,78.06802879126985,19.311722063697403,12.999374925103268,58.62741354582991,90.6857750639554,35,2019,LURIGANCHO
2019-09-08,16.00289654703889,79.03167703091756,19.69652271828039,13.479832245468629,60.14156891040492,93.31265347332784,36,2019,LURIGANCHO
2019-09-15,15.599929259206931,79.09136157231858,18.8817993136974,13.285275906977745,62.54251109165988,89.86933942853032,37,2019,LURIGANCHO
2019-09-22,15.784794255646558,80.72872332286045,18.260559031977778,13.53349830463469,69.68803497332785,91.42964870999184,38,2019,LURIGANCHO
2019-09-29,16.90280044809174,78.74657807551024,19.885642684165987,14.695944697760126,61.73598247229548,90.99186580061937,39,2019,LURIGANCHO
2019-10-06,16.6817249108769,79.23722367949529,19.71491783421766,14.257726006926134,64.08306521853851,88.90134627291499,40,2019,LURIGANCHO
2019-10-13,16.07666133110718,76.62585158927845,19.57308155010321,13.257146072760122,60.049593063955406,88.59081651915787,41,2019,LURIGANCHO
2019-10-20,17.111763664727384,75.01625860181046,21.50560328650909,14.070402795571908,54.025014563955466,86.82009429104046,42,2019,LURIGANCHO
2019-10-27,16.98132262136077,74.89523169106337,20.69709061380064,14.3949909864059,57.31909561833195,86.50500760978537,43,2019,LURIGANCHO
2019-11-03,17.76807265446598,74.46058024469372,21.84107928650917,14.539599352343146,57.94692906292293,87.62366775478947,44,2019,LURIGANCHO
2019-11-10,18.118623776952937,74.95649994501557,20.8578107046863,15.469474434165988,60.71224675478943,85.72452949999997,45,2019,LURIGANCHO
2019-11-17,18.570510951268,76.45112384646177,21.67197275478952,15.786879459217689,60.00997779958707,86.93724830916601,46,2019,LURIGANCHO
2019-11-24,18.605687432412196,76.73078613389318,22.052834420571852,16.078597252394673,62.56185449145341,88.9030513368704,47,2019,LURIGANCHO
2019-12-01,19.92981745582831,73.79463796447007,23.87428556156067,17.537707304634637,55.05201903625101,86.70128313645745,48,2019,LURIGANCHO
2019-12-08,20.25739224934626,75.08544480275303,23.8724932411954,18.089089531977777,58.34180470041296,88.75418148187448,49,2019,LURIGANCHO
2019-12-15,20.079817585523564,77.37493638473367,23.039906668435208,18.17091619562348,62.69279395417007,90.09171425478944,50,2019,LURIGANCHO
2019-12-22,20.164295162236098,75.26789731382489,23.15221231609212,17.684418920571886,61.81586236354251,86.89136611833196,51,2019,LURIGANCHO
2019-12-29,21.062760702171918,73.74662616772441,24.418749279841165,18.357173579686275,60.68046617270852,84.29075665458299,52,2019,LURIGANCHO
2020-01-05,22.091534580158687,74.04372347112482,24.86470390937251,19.644854768383595,60.02616243604458,87.40982137312149,01,2020,LURIGANCHO
2020-01-12,21.748450095209314,75.5068094866389,24.75755969109207,19.46499463192612,61.41654616312961,88.84155563645743,02,2020,LURIGANCHO
2020-01-19,21.736411274029393,76.80192841301172,24.62657305702936,19.768414031977784,62.15029715458302,88.37281810978538,03,2020,LURIGANCHO
