Fecha,temp_mean,temp_max,temp_min,temp_sum,Semana,Anho
2016-11-27,20.52841246821429,25.54671208,16.39875206,1149.5910982200003,47,2016
2016-12-04,21.349427732857134,27.308636199999995,16.20876854,1195.5679530399996,48,2016
2016-12-11,22.092427780178575,27.59201251,17.90742559,1237.1759556900001,49,2016
2016-12-18,21.626257379642855,27.24240195,17.20871056,1211.07041326,50,2016
2016-12-25,23.06060851875,28.60818772,19.09072847,1291.39407705,51,2016
2017-01-01,23.54893979178571,28.68220411,19.40821096,1318.7406283399998,52,2017
2017-01-08,24.40280125571429,30.18962198,20.25139255,1366.5568703200004,1,2017
2017-01-15,24.60773855821429,29.66662382,21.11144236,1378.0333592600002,2,2017
2017-01-22,25.394799875178567,30.2290644,22.72295654,1422.1087930099998,3,2017
2017-01-29,26.080543383035717,29.56702156,23.69167857,1460.5104294500002,4,2017
2017-02-05,26.517788936428563,30.12950588,23.10381652,1484.9961804399995,5,2017
2017-02-12,26.047399279821438,29.87835089,22.90599596,1458.6543596700005,6,2017
2017-02-19,26.42656940482143,30.21054953,23.27709747,1479.88788667,7,2017
2017-02-26,26.50714933821428,29.84930855,24.02242945,1484.4003629399997,8,2017
2017-03-05,27.367726262142863,30.99773507,24.80784704,1532.5926706800003,9,2017
2017-03-12,26.966725096250006,30.53662382,24.44501182,1510.1366053900003,10,2017
2017-03-19,27.46689732053571,31.093406800000004,24.93760145,1538.1462499499999,11,2017
2017-03-26,26.290230372321442,29.91730307,23.61257436,1472.2529008500007,12,2017
2017-04-02,25.164590706964287,29.22907933,22.12453833,1409.2170795900001,13,2017
2017-04-09,24.33611505375,27.6986777,21.82009383,1362.82244301,14,2017
2017-04-16,24.31437101821428,28.27166302,21.10336947,1361.6047770199998,15,2017
2017-04-23,24.117852204285715,28.14650501,20.92668197,1350.59972344,16,2017
2017-04-30,23.274176999107137,27.18515648,20.32214886,1303.3539119499997,17,2017
2017-05-07,22.402703153035713,26.08559277,19.60074534,1254.55137657,18,2017
2017-05-14,23.079078924285714,27.83146155,20.22281981,1292.42841976,19,2017
