Fecha,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max,Semana,Anho,Distrito
2015-11-29,21.998173972943675,80.23661918678144,26.69951642719809,18.934540819158087,56.1913382567839,98.02811263467208,48,2015,Total
2015-12-06,21.813102629799385,76.70017480500579,26.25095355559006,18.23269400496207,56.13926258768797,95.57749093844012,49,2015,Total
2015-12-13,22.236926842850146,78.4133031863772,27.76385232412008,18.08970582594208,50.25444712839193,102.49222860753612,50,2015,Total
2015-12-20,22.643165821423793,79.18439394638703,27.768057991394077,19.383047383354096,55.69245658768796,101.13442360753612,51,2015,Total
2015-12-27,23.798082980335476,77.72022474887304,27.650583812374123,20.8061201197861,58.524413918591954,96.80258773592811,52,2015,Total
2016-01-03,23.911950498957545,76.08536234587258,28.22958023,20.153645287060044,56.10695087,94.36451386,01,2016,Total
2016-01-10,24.149174707500002,77.29862882732142,28.47010758,21.15413384,52.341563,96.3361293,02,2016,Total
2016-01-17,23.42842761642857,80.12166149785715,28.40586586,20.41593759,55.26075549,98.62904555,03,2016,Total
2016-01-24,24.105636242142857,77.44335435071427,29.13991831,21.17302959,45.84884446,99.31197635,04,2016,Total
2016-01-31,25.40890783142857,71.50456604482143,29.54023314,22.28336766,48.87461277,91.72231484,05,2016,Total
2016-02-07,25.666829206250004,73.09799239946429,29.57964379,22.92396143,57.13347787,88.87988166,06,2016,Total
2016-02-14,24.980131734107143,78.69233581410715,29.84944777,22.33912774,53.08523074,96.15130812,07,2016,Total
2016-02-21,25.706668465892857,78.05926437660715,30.62332081,22.89225277,49.68985743,98.77971241,08,2016,Total
2016-02-28,27.002506081785715,68.46852767839286,31.57948382,24.0069758,44.49022277,91.71677541,09,2016,Total
2016-03-06,26.340896983214286,70.94077587785715,29.56837257,23.44007877,53.47477939,90.20390482,10,2016,Total
2016-03-13,26.657349439642854,66.29528628910714,30.12286532,24.03844043,48.92783577,81.34425461,11,2016,Total
2016-03-20,25.22017689392857,76.4991871719643,29.60769631,22.44132949,52.06852069,95.44395818,12,2016,Total
2016-03-27,25.909629589821428,71.68311837660714,29.55065281,22.48264871,49.9620778,93.17058786,13,2016,Total
2016-04-03,25.87591399375,70.87097558714285,30.3864692,23.07303528,48.068394,88.08280053,14,2016,Total
2016-04-10,24.48740475392857,76.29823293839286,28.66007722,21.16204431,56.87791192,96.59392858,15,2016,Total
2016-04-17,23.726113208928574,74.01756064660715,27.32021357,21.35617668,54.33065597,91.84949453,16,2016,Total
2016-04-24,22.696923770178568,77.73699962928572,26.77726693,19.91254934,58.19565569,95.81905391,17,2016,Total
2016-05-01,22.764106814464288,77.21961452446429,27.41524615,20.00207725,53.1914383,98.41794078,18,2016,Total
2016-05-08,22.949985769642858,75.172143155,27.69605227,19.440541,52.39837633,97.0179434,19,2016,Total
2016-05-15,22.39747409875,77.28477734625001,26.542015,19.44089594,56.57627253,96.47476507,20,2016,Total
2016-05-22,21.377073139285717,78.2933256525,25.23625647,18.70752119,55.0736843,95.87607951,21,2016,Total
2016-05-29,21.200559073214286,74.54184691821429,25.83168237,17.567557,53.28023869,91.19947325,22,2016,Total
2016-06-05,20.83831955375,74.48798906785714,25.78114827,17.04477004,51.42555341,95.21968594,23,2016,Total
2016-06-12,20.341731345892857,77.226112415,24.8655126,16.90290947,57.12409682,92.24621602,24,2016,Total
2016-06-19,20.00740233035714,82.81630010625,25.10762031,16.49178497,59.12983376,102.4736091,25,2016,Total
2016-06-26,18.782421367678573,79.25792054392856,23.48529738,15.08636688,55.48462197,96.80508112,26,2016,Total
2016-07-03,19.27016064107143,79.05214263839287,23.7360965,15.91865294,54.36491676,100.1419903,27,2016,Total
2016-07-10,19.282318842321427,79.69427271375,23.48074247,15.90542985,54.77068866,97.19775971,28,2016,Total
2016-07-17,18.622810119642857,82.69865175,23.21495206,15.34156095,59.90380402,99.13746653,29,2016,Total
2016-07-24,18.971220816071426,82.68616534839285,23.48184234,15.57009526,57.05827489,101.8635859,30,2016,Total
2016-07-31,18.547450480000002,82.69745919553573,23.85494531,15.2437627,53.60455489,101.3862268,31,2016,Total
2016-08-07,18.77028580642857,79.59618378107143,23.65140904,15.47724917,56.68326284,100.0393336,32,2016,Total
2016-08-14,18.689647315178572,74.58000073232142,23.46452707,14.58572511,53.60014474,95.59504168,33,2016,Total
2016-08-21,18.590222052142856,78.8106661344643,23.67252834,14.78594189,54.95044674,98.31849865,34,2016,Total
2016-08-28,19.3545198025,78.94128621,24.27606462,15.45619992,55.27753659,99.82873371,35,2016,Total
2016-09-04,18.81914816589286,76.94360164875,23.95336352,15.23468729,54.89129569,98.66634099,36,2016,Total
