Fecha,ix,Departamento,Distrito,casosAccumAnho,nuevosCasos,Semana,Anho,Fecha_x,Fecha_y,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max
2017-05-21,73,LIMA,COMAS,207,14,21,2017,2017-05-21,2017-05-21,20.05042848181353,76.50754797213355,23.876339640003152,17.05279602200261,60.27435378241056,94.14556951600754
2017-05-28,74,LIMA,COMAS,212,5,22,2017,2017-05-28,2017-05-28,19.44426782911676,77.72209401863499,23.14834471580201,17.02636479140307,58.19682713919647,94.5163131160076
2017-06-04,75,LIMA,COMAS,216,4,23,2017,2017-06-04,2017-06-04,18.934894821555847,79.9520290889795,22.550381169202808,16.231650954001964,59.16618781360327,95.1409555160076
2017-06-11,76,LIMA,COMAS,216,0,24,2017,2017-06-11,2017-06-11,18.569225098234508,78.59636780912454,22.80308930540184,14.95057405400189,57.03656762799752,96.99471590161336
2017-06-18,77,LIMA,COMAS,216,0,25,2017,2017-06-18,2017-06-18,18.280139693523505,76.99529657709806,23.482697081002925,14.46239438600128,52.812771391205295,97.6907060408099
2017-06-25,78,LIMA,COMAS,216,0,26,2017,2017-06-25,2017-06-25,18.60107246957354,75.32400459391066,23.017833270602694,15.154449245001617,52.57399882720653,97.43506644321415
2017-07-02,79,LIMA,COMAS,216,0,27,2017,2017-07-02,2017-07-02,17.997100547791188,77.61964543265516,21.778707874201245,14.982610090801984,59.05200001841181,96.23471148801012
2017-07-09,80,LIMA,COMAS,216,0,28,2017,2017-07-09,2017-07-09,17.922848343284112,79.4446020761394,22.292223488002207,14.499677692201884,57.323668316007534,94.63616578801012
2017-07-16,81,LIMA,COMAS,216,0,29,2017,2017-07-16,2017-07-16,17.39877666554481,80.20957199566816,21.03713939220188,14.683090367201828,59.18632756561208,96.75183395200888
2017-07-23,82,LIMA,COMAS,216,0,30,2017,2017-07-23,2017-07-23,17.378098639994725,71.68739748542725,21.675386395001624,14.86810710740275,52.96358053521037,96.3350704408099
2017-07-30,83,LIMA,COMAS,216,0,31,2017,2017-07-30,2017-07-30,17.244148754673198,73.26365521721085,20.11276862140153,14.804033695602698,57.68504354321411,87.55516806320786
2017-08-06,84,LIMA,COMAS,216,0,32,2017,2017-08-06,2017-08-06,17.337590059901675,72.12749765681063,19.93695843740113,14.893038897801375,57.448901590414366,86.54820744640938
2017-08-13,85,LIMA,COMAS,216,0,33,2017,2017-08-13,2017-08-13,16.947919070362595,71.20253533227327,19.75858913460144,14.289618498402431,56.79530336001266,88.2672000464094
2017-08-20,86,LIMA,COMAS,216,0,34,2017,2017-08-20,2017-08-20,17.145022962934032,67.18635070692866,20.42323254560268,14.983816038801024,56.3694127520088,75.8230582632078
2017-08-27,87,LIMA,COMAS,216,0,35,2017,2017-08-27,2017-08-27,17.040667546119728,68.79370627548124,20.210923783201565,14.064526911602345,53.80367997440679,82.35247939120536
2017-09-03,88,LIMA,COMAS,216,0,36,2017,2017-09-03,2017-09-03,17.107415818601737,71.33830167175279,20.12713315960144,14.381123263002223,57.08636426001259,87.65721150480861
2017-09-10,89,LIMA,COMAS,216,0,37,2017,2017-09-10,2017-09-10,16.729297091298132,72.7364614167538,19.40020537280133,14.244933840801991,59.58242848560578,87.1773081160076
2017-09-17,90,LIMA,COMAS,216,0,38,2017,2017-09-17,2017-09-17,17.132699875547996,68.57122303399684,20.96192493520249,14.844348939402153,53.22033962961076,81.96406004960456
2017-09-24,91,LIMA,COMAS,216,0,39,2017,2017-09-24,2017-09-24,17.140509809701268,71.64817824306724,21.602294092802936,13.8417821048007,50.20156806880723,89.37392429041438
2017-10-01,92,LIMA,COMAS,216,0,40,2017,2017-10-01,2017-10-01,17.958194443523215,65.39831526252253,21.211752388002253,14.708408200601127,50.54586683521028,81.76193035200882
2017-10-08,93,LIMA,COMAS,216,0,41,2017,2017-10-08,2017-10-08,18.120267942651964,69.51906663297889,21.49656483720344,15.435711289402091,55.27582864960455,84.33836081281237
2017-10-15,94,LIMA,COMAS,216,0,42,2017,2017-10-15,2017-10-15,18.04573031020532,69.59443945010898,21.34835416440211,14.938793596401524,53.351467596804746,85.63674456001264
2017-10-22,95,LIMA,COMAS,216,0,43,2017,2017-10-22,2017-10-22,18.31067745246944,68.66036047206573,21.92967565880264,15.527177656200593,53.954081807212766,80.90981439360957
2017-10-29,96,LIMA,COMAS,216,0,44,2017,2017-10-29,2017-10-29,18.66869556643088,69.2318580525037,21.57530540320312,16.12993293660236,56.59515057440679,80.25915908560576
2017-11-05,97,LIMA,COMAS,216,0,45,2017,2017-11-05,2017-11-05,17.976945160298534,70.26252365478311,21.43575378100286,14.909760068601711,54.87054804960455,87.3696686576083
2017-11-12,98,LIMA,COMAS,218,2,46,2017,2017-11-12,2017-11-12,18.05570685776981,69.58853022388139,21.113169688002245,15.679593821401454,56.50918570480851,81.7462922544131
2017-11-19,99,LIMA,COMAS,218,0,47,2017,2017-11-19,2017-11-19,18.386831506680775,71.10540191274058,21.333780333201503,16.052748364402134,56.80647920401759,85.62129198241057
2017-11-26,100,LIMA,COMAS,219,1,48,2017,2017-11-26,2017-11-26,19.05416632682712,73.65741084446542,21.837562983802627,16.00943098460141,58.2427982496045,89.62729807121161
2017-12-03,101,LIMA,COMAS,219,0,49,2017,2017-12-03,2017-12-03,19.72613575540958,72.42847697926227,23.10972840180324,17.236942623402456,55.05157437200242,83.9993702520088
2017-12-10,102,LIMA,COMAS,220,1,50,2017,2017-12-10,2017-12-10,19.86132024452058,73.52896871157743,22.36526474220188,17.63502348800222,59.48876303600123,86.86739040800381
2017-12-17,103,LIMA,COMAS,220,0,51,2017,2017-12-17,2017-12-17,20.30528442963478,74.9322147929339,23.72446911780293,17.456590698402465,57.73510366640295,90.81807022720656
2017-12-24,104,LIMA,COMAS,220,0,52,2017,2017-12-24,2017-12-24,21.03902042070296,75.40499325328808,24.456467462804483,18.471120002602103,61.39021868639669,88.02540776320781
2017-12-31,105,LIMA,COMAS,220,0,53,2017,2017-12-31,2017-12-31,20.965917041121312,75.77550512660152,23.67736414060425,18.66984740600288,60.52907513919644,91.97086477440683
2018-01-07,106,LIMA,COMAS,0,0,1,2018,2018-01-07,2018-01-07,21.636000873443106,74.52869365369966,24.61962496560426,19.082967440003245,59.41743647279341,89.40469952480225
2018-01-14,107,LIMA,COMAS,0,0,2,2018,2018-01-14,2018-01-14,21.70057960470371,77.002243517308,24.74557325240432,19.479692003203184,59.425215939196384,90.546763977602
2018-01-21,108,LIMA,COMAS,0,0,3,2018,2018-01-21,2018-01-21,21.981934872957,73.48247208125983,25.4132795400032,19.50456704140305,51.41203412480219,93.33205822160708
2018-01-28,109,LIMA,COMAS,0,0,4,2018,2018-01-28,2018-01-28,22.358204479781808,75.50888030966404,25.328234640003245,20.16282010600287,56.59663991920268,91.30058007361583
2018-02-04,110,LIMA,COMAS,0,0,5,2018,2018-02-04,2018-02-04,22.35354442661048,75.08157644749761,25.72560122040494,19.89182246220344,55.88732256959813,93.19615577681112
2018-02-11,111,LIMA,COMAS,0,0,6,2018,2018-02-11,2018-02-11,22.918206610239498,72.75738476972812,26.465580145404942,20.2782476442028,56.124892042391615,90.81087559120527
