,Fecha,temp_mean,Humedad,Semana,Anho
84,2016-08-14,18.689647315178565,74.58000073232144,32,2016
85,2016-08-21,18.590222052142856,78.8106661344643,33,2016
86,2016-08-28,19.354519802499997,78.94128620999996,34,2016
87,2016-09-04,18.81914816589286,76.94360164875003,35,2016
88,2016-09-11,19.27308982571429,71.85699280035716,36,2016
89,2016-09-18,19.30461944875,78.65195637053577,37,2016
90,2016-09-25,19.871618076607138,75.87049902785716,38,2016
91,2016-10-02,19.88427845410715,74.97843725642858,39,2016
92,2016-10-09,19.740187209464292,77.66339310767857,40,2016
93,2016-10-16,20.14860833821428,77.41662300214286,41,2016
94,2016-10-23,19.62163209767857,78.1409466457143,42,2016
95,2016-10-30,19.215886496071427,78.41256304375001,43,2016
96,2016-11-06,19.727239245,78.79519642553569,44,2016
97,2016-11-13,20.80420146982143,77.43248184339286,45,2016
98,2016-11-20,21.26923359,76.98979344482146,46,2016
99,2016-11-27,20.52841246821429,77.6929402051786,47,2016
100,2016-12-04,21.349427732857134,76.24440637678572,48,2016
101,2016-12-11,22.092427780178575,73.99069240696429,49,2016
102,2016-12-18,21.626257379642855,76.48969013267853,50,2016
103,2016-12-25,23.06060851875,73.84910151517856,51,2016
104,2017-01-01,23.548939791785713,75.56859891767857,52,2017
105,2017-01-08,24.402801255714287,70.84861566553572,1,2017
106,2017-01-15,24.607738558214287,70.03057694303571,2,2017
107,2017-01-22,25.39479987517857,69.54932428321429,3,2017
108,2017-01-29,26.080543383035717,73.55524243517857,4,2017
109,2017-02-05,26.517788936428566,70.82940015017857,5,2017
110,2017-02-12,26.047399279821445,67.34882507178573,6,2017
111,2017-02-19,26.42656940482143,59.21831908535713,7,2017
112,2017-02-26,26.507149338214283,60.34599292785713,8,2017
113,2017-03-05,27.367726262142863,62.66152337035716,9,2017
114,2017-03-12,26.96672509625001,65.07889877446429,10,2017
115,2017-03-19,27.46689732053571,63.52453374928571,11,2017
116,2017-03-26,26.290230372321442,66.49127449785712,12,2017
117,2017-04-02,25.164590706964287,69.48520701482141,13,2017
118,2017-04-09,24.33611505375,71.0911280769643,14,2017
119,2017-04-16,24.314371018214285,73.48808618928572,15,2017
120,2017-04-23,24.117852204285718,74.05806239464286,16,2017
121,2017-04-30,23.274176999107137,74.50514021482141,17,2017
122,2017-05-07,22.402703153035716,77.0231523673214,18,2017
123,2017-05-14,23.079078924285717,73.355587465,19,2017
124,2017-05-21,21.467864904464285,77.72862318464287,20,2017
125,2017-05-28,20.847094618928573,78.74357654107142,21,2017
126,2017-06-04,20.266248104821425,81.50060274874998,22,2017
127,2017-06-11,19.872450366607136,80.93320646482142,23,2017
128,2017-06-18,19.502889684821433,80.11417178071429,24,2017
129,2017-06-25,19.919264545178567,77.33195634696429,25,2017
130,2017-07-02,19.252383771250006,79.86025095035716,26,2017
131,2017-07-09,19.22600302589285,81.34774728696426,27,2017
132,2017-07-16,18.646432609107144,82.66274861125,28,2017
133,2017-07-23,18.61175070392857,74.71822194875001,29,2017
134,2017-07-30,18.521696149821427,75.41048821607143,30,2017
135,2017-08-06,18.465808182321428,74.31032440214288,31,2017
136,2017-08-13,18.13330359625,75.18041966839287,32,2017
137,2017-08-20,18.285748052678567,70.34483251785716,33,2017
138,2017-08-27,18.1834745875,70.59639216446428,34,2017
139,2017-09-03,18.26279022285715,73.03585643750003,35,2017
140,2017-09-10,17.807884395892856,74.85213518946429,36,2017
141,2017-09-17,18.20591627017857,70.05467295410715,37,2017
142,2017-09-24,18.15107494553571,73.48777102946431,38,2017
143,2017-10-01,19.061119560535708,66.5251374980357,39,2017
144,2017-10-08,19.218171710357147,71.21866502874998,40,2017
145,2017-10-15,19.171716046249994,71.0324925975,41,2017
