,Distrito,Mean,Var,ACF1,Seasonality,Trend,Linearity,Curvature,Peak,Entropy,Lumpiness,Lshift,Vchange,Fspots,Cpoints_ts,Cpoints_JV,KlScore,ChangeIdx
51,"ICA, NASCA, MARCONA",0.01886890566037728,0.018511888928462766,-0.00036982248520711305,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
52,"LORETO, REQUENA, SAQUENA",0.03773681132075485,0.03631178212890786,0.508861236802413,-0.002959674435812059,0.22788296041178546,0.005087428294396174,-0.45795658967522057,0,0.040821994520255166,0.0019753086419753104,0.0,0.0,51.0,0,1.0,,
53,"CAJAMARCA, JAEN, JAEN",4.754717150943396,27.505872361694678,0.6687951354223213,0.3388155581256324,0.0,0.02374133204051455,-1.0965017256044147,0,0.32968679922108546,6.631376173808915e-05,0.10370370370370376,0.014403292181069956,16.0,5,3.0,,
54,"MADRE DE DIOS, TAMBOPATA, TAMBOPATA",42.41509443396225,4681.488066044855,0.7478941557240861,0.5857461405213655,0.0,0.022336989855082607,-1.4428298375970334,0,0.1431008436406733,0.0014051904561670702,0.200390625,0.0203855726453993,32.0,5,3.0,,
55,"PASCO, OXAPAMPA, CONSTITUCION",4.811321301886791,110.53043261302994,0.8276460835238398,0.29665502715211506,0.0,0.014414380167455516,-1.0358399376911087,0,0.0969922659873097,0.001529262183384421,0.11777777777777779,0.017980795610425232,42.0,2,2.0,,
56,"PIURA, SULLANA, SULLANA",0.6981137924528306,1.1918824158065782,0.6950648658492039,0.22630801830436645,0.13895336860443008,0.018823484689265185,-0.4489770487011493,0,0.5710444837590454,0.0015590123456790126,0.09999999999999998,0.015555555555555559,14.0,0,3.0,,
57,"ICA, CHINCHA, ALTO LARAN",0.05660473584905674,0.09113552652193045,0.4094049252142201,-0.002653301886792452,0.30142805588367483,0.003815571220797134,-0.34571232750009506,0,0.040821994520255166,0.0001234567901234569,0.0,0.0,51.0,0,0.0,,
58,"JUNIN, CHANCHAMAYO, VITOC",0.09434052830188679,0.08543948736213598,0.8133814102564103,0.19213836477987423,0.0,0.012718570735989818,1.077544916881444,0,0.04612582339537549,0.006049382716049383,0.0,0.0,48.0,0,1.0,,
59,"AYACUCHO, HUAMANGA, AYACUCHO",0.05660471698113221,0.05339967960133486,0.6783333333333336,-0.0045283018867924435,0.0,0.007631142441594243,-0.6734655730494503,0,0.042522675202272556,0.006049382716049382,0.0,0.0,50.0,0,1.0,,
60,"LAMBAYEQUE, CHICLAYO, TUMAN",0.03773681132075478,0.03631178212890782,0.4888763197586726,-0.042175360710321845,0.9442962327313007,0.005087428294395791,0.04489770487002989,0,0.0842323108193639,0.006049382716049383,0.0,0.0,28.0,0,2.0,,
61,"ICA, PISCO, PISCO",0.7735855283018852,1.6468484492704405,0.8148299765138538,0.4498772320518154,0.0,0.02085845600702378,-1.3954206673631282,0,0.08666043822484179,0.001216,0.22,0.01999999999999999,33.0,0,5.0,,
62,"JUNIN, SATIPO, PAMPA HERMOSA",0.03773681132075485,0.03631178212890786,0.508861236802413,-0.002959674435812059,0.22788296041178546,0.005087428294396174,-0.45795658967522057,0,0.040821994520255166,0.0019753086419753104,0.0,0.0,51.0,0,1.0,,
63,"LORETO, ALTO AMAZONAS, JEBEROS",0.9245291698113186,6.560340153791485,0.8979218446273718,0.30669592212015345,0.0,0.011331090292064104,-0.9436681241782339,0,0.04546237407675729,0.003740181681579126,0.02727272727272727,0.007438016528925621,46.0,1,1.0,,
64,"HUANUCO, HUANUCO, AMARILIS",0.05660471698113221,0.05339967960133486,0.6783333333333336,-0.0045283018867924435,0.0,0.007631142441594243,-0.6734655730494503,0,0.042522675202272556,0.006049382716049382,0.0,0.0,50.0,0,1.0,,
65,"UCAYALI, ATALAYA, RAYMONDI",8.09433996226415,108.65147189604878,0.7579912286378343,0.5484895682451203,0.0,0.03117866768994121,-1.796421311429563,0,0.1570037488096648,0.0003986389210257044,0.27142857142857146,0.03584580498866213,29.0,5,5.0,,
66,"LORETO, MAYNAS, PUNCHANA",28.924528396226414,1719.1263740370252,0.6545247142203444,0.21264366612497634,0.0,0.025158153468738922,-0.2667792657122233,0,0.13665151996076627,0.0014880848193429754,0.20193548387096769,0.03226962654642156,26.0,4,7.0,,
67,"SAN MARTIN, LAMAS, ALONSO DE ALVARADO",0.11320845283018881,0.1381272424351154,0.6312944101671513,0.2507294300719704,0.0,0.007631142441594222,-0.655506491102244,0,0.04529075918016311,0.000771604938271605,0.0,0.0,48.0,0,0.0,,
68,"TUMBES, CONTRALMIRANTE VILLAR, CASITAS",0.01886890566037736,0.018511888928462797,-0.0003698224852071037,-0.001451378809869373,0.6689075630252714,0.0025437141471979785,0.2334680653242751,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,1.0,,
69,"CAJAMARCA, JAEN, PUCARA",0.16981218867924536,0.25418268850136067,0.12201019056439547,-0.07158712541620421,0.8651126420455298,0.007631142441593811,0.2903384914933634,1,0.20233618812822268,0.0017512574302697777,0.0,0.0,16.0,0,2.0,,
70,"ICA, ICA, PARCONA",18.905660660377357,1237.6703346173035,0.7815216376944017,0.41513618795045154,0.0,0.019606165965326362,-1.3793265670008208,0,0.07421802552972022,0.00039542178987923176,0.20923076923076922,0.046106508875739666,41.0,7,3.0,,
71,"AYACUCHO, LA MAR, CHUNGUI",0.01886890566037736,0.018511888928462797,-0.0003698224852071037,-0.001451378809869373,0.6689075630252714,0.0025437141471979785,0.2334680653242751,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,1.0,,
72,"SAN MARTIN, PICOTA, SHAMBOYACU",0.415095188679246,2.054111078675817,0.5027028904822564,0.14860861319119717,0.8174394864250402,0.0062179679153728865,-0.3791361744577606,0,0.0986306034416273,0.002475599360982686,0.04444444444444444,0.0032921810699588477,38.0,2,2.0,,
73,"PIURA, SULLANA, BELLAVISTA",0.09434056603773577,0.16091117835534002,0.4431586675937875,-0.015236266488562357,0.3646548915776482,0.006359285367994968,0.3636714094483507,0,0.08604472635853481,0.00012345679012345682,0.0,0.0,45.0,0,1.0,,
74,"LIMA, LIMA, SAN MARTIN DE PORRES",0.07547262264150945,0.06977558134574437,0.19083594976452126,-0.08779360800924144,0.9537954655307008,0.010174856588791711,0.07183632779199034,0,0.1859425625609069,0.006296296296296297,0.0,0.0,22.0,0,6.0,,
75,"PIURA, TALARA, PARIÑAS",0.056604754716981266,0.16660722249912838,-0.0003698224852070969,-0.0014513788098693716,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
76,"HUANUCO, LEONCIO PRADO, PUEBLO NUEVO",0.07547266037735849,0.182983122819545,0.30675679460315874,-0.0023493135599442156,0.4037401895428042,0.0033916188629306353,0.30829757344132763,0,0.040821994520255166,0.0,0.0,0.0,51.0,0,1.0,,
77,"SAN MARTIN, LAMAS, SAN ROQUE DE CUMBAZA",0.11320845283018881,0.1381272424351154,0.6312944101671513,0.2507294300719704,0.0,0.007631142441594222,-0.655506491102244,0,0.04529075918016311,0.000771604938271605,0.0,0.0,48.0,0,0.0,,
78,"TUMBES, ZARUMILLA, PAPAYAL",4.9056607547169815,61.55713406906395,0.8604730981556032,0.4615133141766842,0.0,0.020041384190044382,1.3240741327130592,0,0.2076393647782445,4.541253507809177e-05,0.13636363636363635,0.009845934088358328,30.0,3,1.0,,
